"","x"
"1","0"
"2","0"
"3","0"
"4","0"
"5","0"
"6","0"
"7","0"
"8","0"
"9","0"
"10","0"
"11","0"
"12","0"
"13","0"
"14","1"
"15","0"
"16","0"
"17","0"
"18","0"
"19","0"
"20","1"
"21","1"
"22","0"
"23","0"
"24","0"
"25","0"
"26","1"
"27","1"
"28","0"
"29","1"
"30","0"
"31","0"
"32","0"
"33","0"
"34","0"
"35","0"
"36","0"
"37","0"
"38","0"
"39","0"
"40","0"
"41","1"
"42","0"
"43","1"
"44","0"
"45","0"
"46","0"
"47","1"
"48","1"
"49","0"
"50","0"
"51","1"
"52","0"
"53","0"
"54","0"
"55","1"
"56","0"
"57","0"
"58","0"
"59","1"
"60","1"
"61","0"
"62","0"
"63","0"
"64","0"
"65","0"
"66","1"
"67","0"
"68","0"
"69","0"
"70","0"
"71","0"
"72","0"
"73","0"
"74","0"
"75","0"
"76","0"
"77","0"
"78","0"
"79","0"
"80","0"
"81","0"
"82","0"
"83","0"
"84","1"
"85","0"
"86","1"
"87","0"
"88","1"
"89","1"
"90","0"
"91","1"
"92","1"
"93","0"
"94","0"
"95","0"
"96","0"
"97","0"
"98","0"
"99","1"
"100","0"
"101","0"
"102","0"
"103","1"
"104","0"
"105","0"
"106","0"
"107","0"
"108","0"
"109","1"
"110","0"
"111","1"
"112","0"
"113","0"
"114","0"
"115","0"
"116","0"
"117","0"
"118","0"
"119","0"
"120","0"
"121","1"
"122","1"
"123","0"
"124","1"
"125","0"
"126","0"
"127","1"
"128","1"
"129","1"
"130","0"
"131","1"
"132","0"
"133","0"
"134","0"
"135","0"
"136","0"
"137","1"
"138","0"
"139","0"
"140","1"
"141","0"
"142","0"
"143","0"
"144","1"
"145","1"
"146","1"
"147","1"
"148","0"
"149","0"
"150","1"
"151","1"
"152","0"
"153","0"
"154","0"
"155","0"
"156","0"
"157","0"
"158","1"
"159","0"
"160","0"
"161","0"
"162","0"
"163","0"
"164","0"
"165","0"
"166","0"
"167","1"
"168","1"
"169","0"
"170","0"
"171","0"
"172","1"
"173","1"
"174","0"
"175","0"
"176","0"
"177","1"
"178","0"
"179","0"
"180","1"
"181","1"
"182","1"
"183","1"
"184","0"
"185","0"
"186","0"
